timestamp,cpu,mem,net_in,net_out
2025-10-01T12:00:00,10.0,30.0,100,80
2025-10-01T12:00:01,11.0,31.0,102,82
2025-10-01T12:00:02,12.0,32.0,104,84
2025-10-01T12:00:03,13.0,30.0,106,86
2025-10-01T12:00:04,14.0,31.0,108,88
2025-10-01T12:00:05,10.0,32.0,110,90
2025-10-01T12:00:06,11.0,30.0,112,92
2025-10-01T12:00:07,12.0,31.0,114,94
2025-10-01T12:00:08,13.0,32.0,116,96
2025-10-01T12:00:09,14.0,30.0,118,98
2025-10-01T12:00:10,10.0,31.0,120,100
2025-10-01T12:00:11,11.0,32.0,122,102
2025-10-01T12:00:12,12.0,30.0,124,104
2025-10-01T12:00:13,13.0,31.0,126,106
2025-10-01T12:00:14,14.0,32.0,128,108
2025-10-01T12:00:15,10.0,30.0,130,110
2025-10-01T12:00:16,11.0,31.0,132,112
2025-10-01T12:00:17,12.0,32.0,134,114
2025-10-01T12:00:18,13.0,30.0,136,116
2025-10-01T12:00:19,14.0,31.0,138,118
2025-10-01T12:00:20,10.0,32.0,140,120
2025-10-01T12:00:21,11.0,30.0,142,122
2025-10-01T12:00:22,12.0,31.0,144,124
2025-10-01T12:00:23,13.0,32.0,146,126
2025-10-01T12:00:24,14.0,30.0,148,128
2025-10-01T12:00:25,10.0,31.0,150,130
2025-10-01T12:00:26,11.0,32.0,152,132
2025-10-01T12:00:27,12.0,30.0,154,134
2025-10-01T12:00:28,13.0,31.0,156,136
2025-10-01T12:00:29,14.0,32.0,158,138
2025-10-01T12:00:30,10.0,30.0,160,140
2025-10-01T12:00:31,11.0,31.0,162,142
2025-10-01T12:00:32,12.0,32.0,164,144
2025-10-01T12:00:33,13.0,30.0,166,146
2025-10-01T12:00:34,14.0,31.0,168,148
2025-10-01T12:00:35,10.0,32.0,170,150
2025-10-01T12:00:36,11.0,30.0,172,152
2025-10-01T12:00:37,12.0,31.0,174,154
2025-10-01T12:00:38,13.0,32.0,176,156
2025-10-01T12:00:39,14.0,30.0,178,158
2025-10-01T12:00:40,10.0,31.0,180,160
2025-10-01T12:00:41,11.0,32.0,182,162
2025-10-01T12:00:42,12.0,30.0,184,164
2025-10-01T12:00:43,13.0,31.0,186,166
2025-10-01T12:00:44,14.0,32.0,188,168
2025-10-01T12:00:45,10.0,30.0,190,170
2025-10-01T12:00:46,11.0,31.0,192,172
2025-10-01T12:00:47,12.0,32.0,194,174
2025-10-01T12:00:48,13.0,30.0,196,176
2025-10-01T12:00:49,14.0,31.0,198,178
2025-10-01T12:00:50,10.0,32.0,200,180
2025-10-01T12:00:51,11.0,30.0,202,182
2025-10-01T12:00:52,12.0,31.0,204,184
2025-10-01T12:00:53,13.0,32.0,206,186
2025-10-01T12:00:54,14.0,30.0,208,188
2025-10-01T12:00:55,10.0,31.0,210,190
2025-10-01T12:00:56,11.0,32.0,212,192
2025-10-01T12:00:57,12.0,30.0,214,194
2025-10-01T12:00:58,13.0,31.0,216,196
2025-10-01T12:00:59,14.0,32.0,218,198
2025-10-01T12:00:60,10.0,30.0,220,200
2025-10-01T12:00:61,11.0,31.0,222,202
2025-10-01T12:00:62,12.0,32.0,224,204
2025-10-01T12:00:63,13.0,30.0,226,206
2025-10-01T12:00:64,14.0,31.0,228,208
2025-10-01T12:00:65,10.0,32.0,230,210
2025-10-01T12:00:66,11.0,30.0,232,212
2025-10-01T12:00:67,12.0,31.0,234,214
2025-10-01T12:00:68,13.0,32.0,236,216
2025-10-01T12:00:69,14.0,30.0,238,218
2025-10-01T12:00:70,10.0,31.0,240,220
2025-10-01T12:00:71,11.0,32.0,242,222
2025-10-01T12:00:72,12.0,30.0,244,224
2025-10-01T12:00:73,13.0,31.0,246,226
2025-10-01T12:00:74,14.0,32.0,248,228
2025-10-01T12:00:75,10.0,30.0,250,230
2025-10-01T12:00:76,11.0,31.0,252,232
2025-10-01T12:00:77,12.0,32.0,254,234
2025-10-01T12:00:78,13.0,30.0,256,236
2025-10-01T12:00:79,14.0,31.0,258,238
2025-10-01T12:00:80,10.0,32.0,260,240
2025-10-01T12:00:81,11.0,30.0,262,242
2025-10-01T12:00:82,12.0,31.0,264,244
2025-10-01T12:00:83,13.0,32.0,266,246
2025-10-01T12:00:84,14.0,30.0,268,248
2025-10-01T12:00:85,10.0,31.0,270,250
2025-10-01T12:00:86,11.0,32.0,272,252
2025-10-01T12:00:87,12.0,30.0,274,254
2025-10-01T12:00:88,13.0,31.0,276,256
2025-10-01T12:00:89,14.0,32.0,278,258
2025-10-01T12:00:90,10.0,30.0,280,260
2025-10-01T12:00:91,11.0,31.0,282,262
2025-10-01T12:00:92,12.0,32.0,284,264
2025-10-01T12:00:93,13.0,30.0,286,266
2025-10-01T12:00:94,14.0,31.0,288,268
2025-10-01T12:00:95,10.0,32.0,290,270
2025-10-01T12:00:96,11.0,30.0,292,272
2025-10-01T12:00:97,12.0,31.0,294,274
2025-10-01T12:00:98,13.0,32.0,296,276
2025-10-01T12:00:99,14.0,30.0,298,278
